transaction_id,date,product_id,machine_id,planned_units,units_produced,units_defective,planned_duration,actual_duration
1,2025-01-31,P003,M070,189,182,13,98,116
2,2025-08-08,P080,M028,221,206,9,475,604
3,2025-03-25,P058,M062,348,346,14,314,394
4,2025-11-25,P082,M019,970,831,35,178,209
5,2025-08-13,P078,M035,701,640,9,117,110
6,2025-06-14,P047,M008,108,98,5,600,751
7,2025-07-23,P038,M052,667,621,10,77,90
8,2025-04-03,P059,M002,306,260,10,569,593
9,2025-05-03,P068,M032,202,189,9,562,613
10,2025-09-18,P050,M010,179,153,3,536,589
11,2025-06-09,P004,M020,373,337,18,146,203
12,2025-09-13,P032,M040,535,513,22,540,653
13,2025-08-25,P030,M027,703,699,27,515,499
14,2025-10-06,P036,M029,576,516,24,346,383
15,2025-04-29,P084,M010,879,850,41,125,117
16,2025-01-28,P054,M009,162,153,8,559,758
17,2025-08-03,P015,M062,812,758,31,585,789
18,2025-06-06,P015,M029,772,744,30,331,389
19,2025-11-29,P016,M022,258,236,10,573,539
20,2025-12-23,P095,M050,484,412,16,339,325
21,2025-08-13,P043,M016,738,703,12,60,70
22,2025-05-23,P042,M021,497,468,23,179,249
23,2025-07-09,P054,M033,348,346,14,278,331
24,2025-03-17,P046,M011,860,769,53,531,615
25,2025-03-15,P079,M061,913,907,14,600,683
26,2025-08-06,P048,M020,680,670,8,220,250
27,2025-08-04,P042,M035,991,946,54,556,602
28,2025-11-25,P100,M041,317,298,18,558,671
29,2025-04-23,P028,M069,710,670,16,562,519
30,2025-12-12,P084,M056,166,161,7,474,604
31,2025-08-29,P062,M062,880,827,29,296,361
32,2025-03-12,P012,M054,649,646,36,139,173
33,2025-06-21,P094,M045,120,106,3,241,219
34,2025-01-15,P027,M004,332,310,12,361,402
35,2025-10-16,P009,M047,656,573,17,445,619
36,2025-03-24,P073,M022,376,325,18,342,452
37,2025-08-25,P045,M041,500,476,15,501,662
38,2025-04-09,P048,M023,837,792,44,363,493
39,2025-01-19,P009,M037,954,869,51,312,394
40,2025-07-25,P015,M023,259,255,4,362,399
41,2025-04-25,P043,M063,154,149,3,542,524
42,2025-08-06,P027,M008,287,262,16,506,503
43,2025-04-08,P063,M009,689,594,23,593,575
44,2025-04-30,P003,M021,423,418,9,124,117
45,2025-11-05,P097,M006,650,573,3,552,590
46,2025-08-10,P011,M032,112,106,7,570,652
47,2025-08-04,P042,M032,273,244,15,582,686
48,2025-05-19,P093,M064,683,655,16,134,162
49,2025-09-25,P095,M066,118,116,6,333,310
50,2025-02-17,P080,M006,974,863,21,104,108
51,2025-02-06,P024,M054,636,580,7,403,510
52,2025-09-19,P034,M034,407,395,28,199,268
53,2025-01-23,P031,M006,707,701,44,362,339
54,2025-04-07,P071,M018,562,507,3,95,90
55,2025-01-26,P074,M002,438,408,25,110,148
56,2025-07-23,P056,M003,200,187,6,378,412
57,2025-07-04,P033,M061,580,563,3,413,476
58,2025-10-16,P099,M036,377,349,19,313,327
59,2025-03-21,P039,M023,409,396,9,433,577
60,2025-12-06,P049,M055,579,539,25,334,415
61,2025-01-14,P043,M048,635,608,31,180,169
62,2025-11-24,P044,M022,414,386,26,172,238
63,2025-08-04,P056,M039,484,441,5,115,117
64,2025-01-09,P030,M026,143,126,5,498,548
65,2025-05-17,P079,M022,786,751,15,232,232
66,2025-09-17,P032,M025,632,616,18,313,316
67,2025-12-29,P072,M062,398,338,17,372,502
68,2025-10-10,P014,M069,463,428,8,108,106
69,2025-05-01,P082,M038,515,477,26,381,383
70,2025-02-26,P011,M022,229,196,15,88,103
71,2025-07-02,P075,M036,394,354,18,317,427
72,2025-08-08,P031,M061,682,667,32,191,235
73,2025-03-30,P076,M003,177,158,9,558,506
74,2025-06-19,P028,M013,303,284,3,61,72
75,2025-07-07,P089,M009,807,715,20,592,821
76,2025-01-13,P024,M007,362,347,13,576,566
77,2025-11-08,P069,M073,742,722,15,227,205
78,2025-11-27,P097,M042,791,772,26,167,207
79,2025-01-08,P062,M011,905,815,46,440,493
80,2025-12-29,P010,M018,316,286,19,543,616
81,2025-11-23,P008,M041,759,721,5,349,434
82,2025-07-03,P002,M034,872,766,44,321,342
83,2025-11-26,P037,M067,890,869,44,447,413
84,2025-09-22,P083,M011,412,360,25,180,164
85,2025-05-22,P098,M047,862,855,21,443,416
86,2025-01-01,P028,M030,538,509,32,352,378
87,2025-03-27,P045,M073,971,841,46,296,302
88,2025-05-10,P088,M062,864,831,49,512,593
89,2025-04-28,P004,M057,758,686,45,91,88
90,2025-12-23,P027,M042,192,186,4,143,197
91,2025-09-21,P032,M049,708,647,24,259,346
92,2025-11-29,P016,M033,351,301,21,522,648
93,2025-12-04,P080,M063,476,443,22,73,71
94,2025-09-19,P032,M068,923,852,35,360,399
95,2025-09-14,P056,M002,573,525,14,196,192
96,2025-03-23,P077,M013,785,735,52,126,135
97,2025-10-04,P023,M020,156,138,7,517,597
98,2025-03-25,P041,M053,509,440,8,143,198
99,2025-10-06,P027,M026,280,248,2,168,157
100,2025-03-30,P010,M008,713,629,7,199,191
101,2025-05-16,P001,M019,900,880,33,156,196
102,2025-06-25,P014,M046,476,411,14,250,330
103,2025-02-23,P026,M026,555,543,10,198,208
104,2025-02-27,P033,M011,207,182,7,192,229
105,2025-12-09,P041,M023,505,478,13,60,71
106,2025-05-30,P043,M067,408,392,12,66,84
107,2025-03-16,P070,M019,728,623,30,581,734
108,2025-08-15,P099,M017,440,413,9,454,436
109,2025-12-15,P014,M007,142,132,7,359,487
110,2025-01-03,P002,M001,822,808,63,272,347
111,2025-08-22,P021,M041,529,520,27,500,516
112,2025-06-10,P074,M059,417,396,28,96,122
113,2025-09-14,P003,M050,163,152,11,512,479
114,2025-04-08,P021,M058,908,803,51,89,106
115,2025-08-02,P030,M042,134,128,6,139,166
116,2025-09-20,P035,M010,361,351,15,119,147
117,2025-09-19,P075,M002,389,359,24,467,493
118,2025-02-08,P060,M063,824,802,18,486,529
119,2025-10-20,P076,M042,156,149,11,329,364
120,2025-10-06,P039,M006,237,218,17,581,655
121,2025-07-30,P047,M055,196,172,2,260,354
122,2025-12-15,P030,M009,553,548,3,330,322
123,2025-10-17,P082,M046,413,385,25,487,567
124,2025-08-10,P063,M030,635,565,38,419,425
125,2025-11-18,P068,M073,208,178,10,211,223
126,2025-06-09,P085,M013,548,536,30,524,641
127,2025-10-11,P049,M023,517,443,33,164,154
128,2025-07-21,P016,M037,691,629,17,579,647
129,2025-05-19,P015,M027,615,525,27,228,305
130,2025-04-28,P079,M037,638,623,4,389,422
131,2025-07-29,P021,M026,817,711,55,146,132
132,2025-11-09,P093,M073,469,422,22,583,616
133,2025-02-10,P057,M010,283,268,6,256,234
134,2025-01-22,P017,M028,208,181,3,503,658
135,2025-01-10,P012,M014,325,315,20,136,163
136,2025-01-30,P090,M004,672,626,38,508,468
137,2025-08-09,P059,M037,521,474,35,82,99
138,2025-03-25,P096,M010,478,450,29,475,622
139,2025-04-02,P092,M017,458,408,21,67,86
140,2025-12-14,P040,M052,107,105,2,168,217
141,2025-07-28,P093,M033,621,541,23,334,438
142,2025-11-28,P094,M017,875,796,38,199,218
143,2025-01-04,P099,M024,439,405,16,402,400
144,2025-02-05,P052,M065,674,656,44,406,459
145,2025-10-24,P053,M042,506,448,29,531,512
146,2025-08-19,P052,M018,208,207,11,386,486
147,2025-12-17,P095,M057,676,622,12,89,116
148,2025-07-05,P083,M051,787,695,12,151,167
149,2025-05-03,P045,M051,136,121,6,246,250
150,2025-10-23,P049,M070,713,710,13,547,645
151,2025-01-02,P056,M073,891,783,62,558,581
152,2025-11-19,P006,M001,911,782,10,260,271
153,2025-03-24,P066,M034,910,805,38,398,361
154,2025-12-20,P093,M048,503,437,9,251,317
155,2025-09-13,P021,M056,589,504,28,119,133
156,2025-03-09,P028,M051,677,631,38,495,502
157,2025-06-16,P090,M048,544,479,4,442,436
158,2025-03-05,P043,M004,577,503,11,589,590
159,2025-02-04,P092,M056,188,172,1,321,306
160,2025-09-09,P075,M008,971,911,70,553,559
